,permno,date,ret,jyear,formdate,dgtw_port,dgtw_vwret,dgtw_xret
748682,10028,1990-02-28,0.0333333350718021,1989,1989-06-30,111,0.00241419301492805,0.030919142056874047
753129,10028,1990-03-31,-0.225806444883347,1989,1989-06-30,111,0.03255627341111728,-0.2583627182944643
757546,10028,1990-04-30,-0.125,1989,1989-06-30,111,-0.03597898753707571,-0.08902101246292429
761934,10028,1990-05-31,-0.238095238804817,1989,1989-06-30,111,0.03441347214432708,-0.2725087109491441
766289,10028,1990-06-30,-0.0625,1989,1989-06-30,111,-0.0029045656419278915,-0.05959543435807211
770605,10028,1990-07-31,0.200000002980232,1990,1990-06-30,111,-0.06839014336814632,0.2683901463483783
775145,10028,1990-08-31,-0.111111111938953,1990,1990-06-30,111,-0.1510299401234641,0.039918828184511104
779654,10028,1990-09-30,0.5625,1990,1990-06-30,111,-0.12162480891615211,0.6841248089161521
784140,10028,1990-10-31,-0.200000002980232,1990,1990-06-30,111,-0.11723826422303224,-0.08276173875719975
788598,10028,1990-11-30,-0.200000002980232,1990,1990-06-30,111,0.047945467479239716,-0.2479454704594717
793034,10028,1990-12-31,-0.125,1990,1990-06-30,111,-0.06428023758442383,-0.06071976241557617
797450,10028,1991-01-31,0.0,1990,1990-06-30,111,0.22392771608241532,-0.22392771608241532
801844,10028,1991-02-28,0.0714285746216774,1990,1990-06-30,111,0.23542484453666657,-0.16399626991498917
806220,10028,1991-03-31,0.133333340287209,1990,1990-06-30,111,0.1113916714279694,0.021941668859239608
810572,10028,1991-04-30,-0.117647059261799,1990,1990-06-30,111,0.03661664928453332,-0.1542637085463323
814894,10028,1991-05-31,0.0666666701436043,1990,1990-06-30,111,0.02192558156147002,0.044741088582134284
819192,10028,1991-06-30,0.0,1990,1990-06-30,111,-0.04376605895115171,0.04376605895115171
825077,10028,1991-07-31,0.0,1991,1991-06-30,114,0.02144109894222543,-0.02144109894222543
829602,10028,1991-08-31,0.75,1991,1991-06-30,114,0.017861209988834528,0.7321387900111654
834113,10028,1991-09-30,0.214285716414452,1991,1991-06-30,114,0.012082590226141212,0.20220312618831077
838600,10028,1991-10-31,0.588235318660736,1991,1991-06-30,114,0.017650214614403793,0.5705851040463322
843060,10028,1991-11-30,0.222222223877907,1991,1991-06-30,114,-0.021873142821698565,0.24409536669960555
847493,10028,1991-12-31,1.30303025245667,1991,1991-06-30,114,0.044880040045148575,1.2581502124115214
851903,10028,1992-01-31,-0.0789473652839661,1991,1991-06-30,114,0.11347992456427342,-0.19242728984823954
856286,10028,1992-02-29,-0.114285714924335,1991,1991-06-30,114,0.039409409675679866,-0.15369512460001486
860642,10028,1992-03-31,0.419354826211929,1991,1991-06-30,114,-0.012972582582820713,0.4323274087947497
864971,10028,1992-04-30,-0.170454546809196,1991,1991-06-30,114,-0.02539368265256409,-0.1450608641566319
869262,10028,1992-05-31,-0.205479457974434,1991,1991-06-30,114,0.0017687791174820797,-0.2072482370919161
873512,10028,1992-06-30,-0.206896558403969,1991,1991-06-30,114,-0.05142974064032796,-0.15546681776364105
878439,10028,1992-07-31,0.108695648610592,1992,1992-06-30,115,0.03343558244049675,0.07526006617009526
882929,10028,1992-08-31,0.0196078438311815,1992,1992-06-30,115,-0.03989947782947018,0.05950732166065168
887406,10028,1992-09-30,0.0769230797886848,1992,1992-06-30,115,0.020383583887546474,0.056539495901138326
891854,10028,1992-10-31,-0.0357142873108387,1992,1992-06-30,115,0.030685051322667068,-0.06639933863350576
896276,10028,1992-11-30,-0.185185179114342,1992,1992-06-30,115,0.11585258272145595,-0.30103776183579795
900683,10028,1992-12-31,0.0,1992,1992-06-30,115,0.031695306421440764,-0.031695306421440764
905075,10028,1993-01-31,0.0,1992,1992-06-30,115,0.07406608953901632,-0.07406608953901632
909449,10028,1993-02-28,-0.0909090936183929,1992,1992-06-30,115,-0.03403522083553979,-0.056873872782853115
913801,10028,1993-03-31,-0.100000001490116,1992,1992-06-30,115,0.012290242094473516,-0.11229024358458951
918138,10028,1993-04-30,0.388888895511627,1992,1992-06-30,115,-0.04775605762648943,0.4366449531381164
922461,10028,1993-05-31,0.200000002980232,1992,1992-06-30,115,0.04321345826570131,0.15678654471453068
926765,10028,1993-06-30,-0.133333340287209,1992,1992-06-30,115,-0.001498613705656852,-0.13183472658155215
930246,10028,1993-07-31,0.192307695746422,1993,1993-06-30,113,0.004831609224495245,0.18747608652192677
935014,10028,1993-08-31,-0.0322580635547638,1993,1993-06-30,113,0.027073374344456835,-0.059331437899220636
939764,10028,1993-09-30,-0.0666666701436043,1993,1993-06-30,113,0.02334640879911568,-0.09001307894271998
944499,10028,1993-10-31,0.25,1993,1993-06-30,113,0.05364598771755245,0.19635401228244756
949217,10028,1993-11-30,-0.142857149243355,1993,1993-06-30,113,-0.021300955747154564,-0.12155619349620042
953919,10028,1993-12-31,0.300000011920929,1993,1993-06-30,113,0.013309578465334523,0.2866904334555945
958600,10028,1994-01-31,0.0769230797886848,1993,1993-06-30,113,0.06053112706357222,0.016391952725112582
963256,10028,1994-02-28,0.119047619402409,1993,1993-06-30,113,0.0007892376028608946,0.1182583817995481
967899,10028,1994-03-31,-0.170212760567665,1993,1993-06-30,113,-0.04370856105715702,-0.12650419951050795
972523,10028,1994-04-30,0.128205135464668,1993,1993-06-30,113,-0.009341813232624592,0.1375469486972926
977121,10028,1994-05-31,-0.159090906381607,1993,1993-06-30,113,-0.006944380606781799,-0.1521465257748252
981692,10028,1994-06-30,-0.0270270276814699,1993,1993-06-30,113,-0.035193738792057,0.008166711110587099
987394,10028,1994-07-31,-0.111111111938953,1994,1994-06-30,114,0.007199738322205904,-0.1183108502611589
